impression_id,session_id,user_id,title_id,impression_ts,ad_network,updated_at
imp47,sess47,u3,t47,2025-01-01 12:13:59,mediagrid,2025-01-01 12:14:00
imp48,sess48,u4,t48,2025-01-01 12:29:36,streamads,2025-01-01 12:29:37
imp49,sess49,u5,t49,2025-01-01 12:45:13,adflow,2025-01-01 12:45:14
imp50,sess50,u5,t50,2025-01-01 13:00:50,sponsorx,2025-01-01 13:00:51
imp51,sess51,u6,t51,2025-01-01 13:16:27,mediagrid,2025-01-01 13:16:28
imp52,sess52,u7,t52,2025-01-01 13:32:04,streamads,2025-01-01 13:32:05
imp53,sess53,u8,t53,2025-01-01 13:47:41,adflow,2025-01-01 13:47:42
imp54,sess54,u9,t54,2025-01-01 14:03:18,sponsorx,2025-01-01 14:03:19
imp55,sess55,u10,t55,2025-01-01 14:18:55,mediagrid,2025-01-01 14:18:56
imp56,sess56,u1,t56,2025-01-01 14:34:32,streamads,2025-01-01 14:34:33
imp57,sess57,u2,t57,2025-01-01 14:50:09,adflow,2025-01-01 14:50:10
imp58,sess58,u3,t58,2025-01-01 15:05:46,sponsorx,2025-01-01 15:05:47
imp59,sess59,u4,t59,2025-01-01 15:21:23,mediagrid,2025-01-01 15:21:24
imp60,sess60,u5,t60,2025-01-01 15:37:00,streamads,2025-01-01 15:37:01
imp61,sess61,u5,t61,2025-01-01 15:52:37,adflow,2025-01-01 15:52:38
imp62,sess62,u6,t62,2025-01-01 16:08:14,sponsorx,2025-01-01 16:08:15
imp63,sess63,u7,t63,2025-01-01 16:23:51,mediagrid,2025-01-01 16:23:52
imp64,sess64,u8,t64,2025-01-01 16:39:28,streamads,2025-01-01 16:39:29
imp65,sess65,u9,t65,2025-01-01 16:30:15,adflow,2025-01-01 16:30:16
imp66,sess66,u10,t66,2025-01-01 16:38:52,sponsorx,2025-01-01 16:38:53
imp67,sess67,u1,t67,2025-01-01 16:47:29,mediagrid,2025-01-01 16:47:30
imp68,sess68,u2,t68,2025-01-01 17:41:56,streamads,2025-01-01 17:41:57
imp69,sess69,u3,t69,2025-01-01 17:57:33,adflow,2025-01-01 17:57:34
imp70,sess70,u4,t70,2025-01-01 18:13:10,sponsorx,2025-01-01 18:13:11
imp71,sess71,u5,t71,2025-01-01 18:28:47,mediagrid,2025-01-01 18:28:48
imp72,sess72,u5,t72,2025-01-01 18:44:24,streamads,2025-01-01 18:44:25
imp73,sess73,u6,t73,2025-01-01 19:00:01,adflow,2025-01-01 19:00:02
imp74,sess74,u7,t74,2025-01-01 19:15:38,sponsorx,2025-01-01 19:15:39
imp75,sess75,u8,t75,2025-01-01 19:31:15,mediagrid,2025-01-01 19:31:16
imp76,sess76,u9,t76,2025-01-01 19:46:52,streamads,2025-01-01 19:46:53
imp77,sess77,u10,t77,2025-01-01 20:02:29,adflow,2025-01-01 20:02:30
imp78,sess78,u1,t78,2025-01-01 20:18:06,sponsorx,2025-01-01 20:18:07
imp79,sess79,u2,t79,2025-01-01 20:33:43,mediagrid,2025-01-01 20:33:44
imp80,sess80,u3,t80,2025-01-01 20:49:20,streamads,2025-01-01 20:49:21
imp81,sess81,u4,t81,2025-01-01 21:04:57,adflow,2025-01-01 21:04:58
imp82,sess82,u5,t82,2025-01-01 21:20:34,sponsorx,2025-01-01 21:20:35
imp83,sess83,u5,t83,2025-01-01 21:36:11,mediagrid,2025-01-01 21:36:12
imp84,sess84,u6,t84,2025-01-01 21:51:48,streamads,2025-01-01 21:51:49
imp85,sess85,u7,t85,2025-01-01 22:07:25,adflow,2025-01-01 22:07:26
imp86,sess86,u8,t86,2025-01-01 21:39:22,sponsorx,2025-01-01 21:39:23
imp87,sess87,u9,t87,2025-01-01 22:09:49,mediagrid,2025-01-01 22:09:50
imp88,sess88,u10,t88,2025-01-01 22:18:26,streamads,2025-01-01 22:18:27
imp89,sess89,u1,t89,2025-01-01 22:27:03,adflow,2025-01-01 22:27:04
imp90,sess90,u2,t90,2025-01-01 22:35:40,sponsorx,2025-01-01 22:35:41
imp91,sess91,u3,t91,2025-01-01 23:41:07,mediagrid,2025-01-01 23:41:08
imp92,sess92,u4,t92,2025-01-01 23:56:44,streamads,2025-01-01 23:56:45
imp93,sess93,u5,t93,2025-01-02 00:12:21,adflow,2025-01-02 00:12:22
imp94,sess94,u5,t94,2025-01-02 00:27:58,sponsorx,2025-01-02 00:27:59
imp95,sess95,u6,t95,2025-01-02 00:43:35,mediagrid,2025-01-02 00:43:36
imp96,sess96,u7,t96,2025-01-02 00:59:12,streamads,2025-01-02 00:59:13
imp97,sess97,u8,t97,2025-01-02 01:14:49,adflow,2025-01-02 01:14:50
imp98,sess98,u9,t98,2025-01-02 01:30:26,sponsorx,2025-01-02 01:30:27
imp99,sess99,u10,t99,2025-01-02 01:46:03,mediagrid,2025-01-02 01:46:04
imp100,sess100,u1,t100,2025-01-02 02:01:40,streamads,2025-01-02 02:01:41
imp101,sess101,u2,t101,2025-01-02 02:17:17,adflow,2025-01-02 02:17:18
imp102,sess102,u3,t102,2025-01-02 02:32:54,sponsorx,2025-01-02 02:32:55
imp103,sess103,u4,t103,2025-01-02 02:48:31,mediagrid,2025-01-02 02:48:32
imp104,sess104,u5,t104,2025-01-02 03:04:08,streamads,2025-01-02 03:04:09
imp105,sess105,u5,t105,2025-01-02 03:19:45,adflow,2025-01-02 03:19:46
imp106,sess106,u6,t106,2025-01-02 03:35:22,sponsorx,2025-01-02 03:35:23
imp107,sess107,u7,t107,2025-01-02 03:50:59,mediagrid,2025-01-02 03:51:00
imp108,sess108,u8,t108,2025-01-02 03:14:56,streamads,2025-01-02 03:14:57
imp109,sess109,u9,t109,2025-01-02 03:16:33,adflow,2025-01-02 03:16:34
imp110,sess110,u10,t110,2025-01-02 03:58:00,sponsorx,2025-01-02 03:58:01
imp111,sess111,u1,t111,2025-01-02 04:06:37,mediagrid,2025-01-02 04:06:38
imp112,sess112,u2,t112,2025-01-02 04:15:14,streamads,2025-01-02 04:15:15
imp113,sess113,u3,t113,2025-01-02 04:23:51,adflow,2025-01-02 04:23:52
imp114,sess114,u4,t114,2025-01-02 04:32:28,sponsorx,2025-01-02 04:32:29
imp115,sess115,u5,t115,2025-01-02 05:55:55,mediagrid,2025-01-02 05:55:56
imp116,sess116,u5,t116,2025-01-02 06:11:32,streamads,2025-01-02 06:11:33
imp117,sess117,u6,t117,2025-01-02 06:27:09,adflow,2025-01-02 06:27:10
imp118,sess118,u7,t118,2025-01-02 06:42:46,sponsorx,2025-01-02 06:42:47
imp119,sess119,u8,t119,2025-01-02 06:58:23,mediagrid,2025-01-02 06:58:24
imp120,sess120,u9,t120,2025-01-02 07:14:00,streamads,2025-01-02 07:14:01
imp121,sess121,u10,t121,2025-01-02 07:29:37,adflow,2025-01-02 07:29:38
imp122,sess122,u1,t122,2025-01-02 07:45:14,sponsorx,2025-01-02 07:45:15
imp123,sess123,u2,t123,2025-01-02 08:00:51,mediagrid,2025-01-02 08:00:52
imp124,sess124,u3,t124,2025-01-02 08:16:28,streamads,2025-01-02 08:16:29
imp125,sess125,u4,t125,2025-01-02 08:32:05,adflow,2025-01-02 08:32:06
imp126,sess126,u5,t126,2025-01-02 08:47:42,sponsorx,2025-01-02 08:47:43
imp127,sess127,u5,t127,2025-01-02 09:03:19,mediagrid,2025-01-02 09:03:20
imp128,sess128,u6,t128,2025-01-02 09:18:56,streamads,2025-01-02 09:18:57
imp129,sess129,u7,t129,2025-01-02 08:26:03,adflow,2025-01-02 08:26:04
imp130,sess130,u8,t130,2025-01-02 08:50:30,sponsorx,2025-01-02 08:50:31
imp131,sess131,u9,t131,2025-01-02 08:52:07,mediagrid,2025-01-02 08:52:08
imp132,sess132,u10,t132,2025-01-02 09:37:34,streamads,2025-01-02 09:37:35
imp133,sess133,u1,t133,2025-01-02 09:46:11,adflow,2025-01-02 09:46:12
imp134,sess134,u2,t134,2025-01-02 09:54:48,sponsorx,2025-01-02 09:54:49
imp135,sess135,u3,t135,2025-01-02 10:03:25,mediagrid,2025-01-02 10:03:26
imp136,sess136,u4,t136,2025-01-02 10:12:02,streamads,2025-01-02 10:12:03
imp137,sess137,u5,t137,2025-01-02 10:20:39,adflow,2025-01-02 10:20:40
imp138,sess138,u5,t138,2025-01-02 11:55:06,sponsorx,2025-01-02 11:55:07
imp139,sess139,u6,t139,2025-01-02 12:10:43,mediagrid,2025-01-02 12:10:44
imp140,sess140,u7,t140,2025-01-02 12:26:20,streamads,2025-01-02 12:26:21
imp141,sess141,u8,t141,2025-01-02 12:41:57,adflow,2025-01-02 12:41:58
imp142,sess142,u9,t142,2025-01-02 12:57:34,sponsorx,2025-01-02 12:57:35
imp143,sess143,u10,t143,2025-01-02 13:13:11,mediagrid,2025-01-02 13:13:12
imp144,sess144,u1,t144,2025-01-02 13:28:48,streamads,2025-01-02 13:28:49
imp145,sess145,u2,t145,2025-01-02 13:44:25,adflow,2025-01-02 13:44:26
imp146,sess146,u3,t146,2025-01-02 14:00:02,sponsorx,2025-01-02 14:00:03
imp147,sess147,u4,t147,2025-01-02 14:15:39,mediagrid,2025-01-02 14:15:40
imp148,sess148,u5,t148,2025-01-02 14:31:16,streamads,2025-01-02 14:31:17
imp149,sess149,u5,t149,2025-01-02 14:46:53,adflow,2025-01-02 14:46:54
imp150,sess150,u6,t150,2025-01-02 13:43:10,sponsorx,2025-01-02 13:43:11
imp151,sess151,u7,t151,2025-01-02 13:57:37,mediagrid,2025-01-02 13:57:38
imp152,sess152,u8,t152,2025-01-02 14:26:04,streamads,2025-01-02 14:26:05
imp153,sess153,u9,t153,2025-01-02 14:27:41,adflow,2025-01-02 14:27:42
imp154,sess154,u10,t154,2025-01-02 15:17:08,sponsorx,2025-01-02 15:17:09
imp155,sess155,u1,t155,2025-01-02 15:25:45,mediagrid,2025-01-02 15:25:46
imp156,sess156,u2,t156,2025-01-02 15:34:22,streamads,2025-01-02 15:34:23
imp157,sess157,u3,t157,2025-01-02 15:42:59,adflow,2025-01-02 15:43:00
imp158,sess158,u4,t158,2025-01-02 15:51:36,sponsorx,2025-01-02 15:51:37
imp159,sess159,u5,t159,2025-01-02 16:00:13,mediagrid,2025-01-02 16:00:14
imp160,sess160,u5,t160,2025-01-02 16:08:50,streamads,2025-01-02 16:08:51
imp161,sess161,u6,t161,2025-01-02 16:17:27,adflow,2025-01-02 16:17:28
imp162,sess162,u7,t162,2025-01-02 18:09:54,sponsorx,2025-01-02 18:09:55
imp163,sess163,u8,t163,2025-01-02 18:25:31,mediagrid,2025-01-02 18:25:32
imp164,sess164,u9,t164,2025-01-02 18:41:08,streamads,2025-01-02 18:41:09
imp165,sess165,u10,t165,2025-01-02 18:56:45,adflow,2025-01-02 18:56:46
imp166,sess166,u1,t166,2025-01-02 19:12:22,sponsorx,2025-01-02 19:12:23
imp167,sess167,u2,t167,2025-01-02 19:27:59,mediagrid,2025-01-02 19:28:00
imp168,sess168,u3,t168,2025-01-02 19:43:36,streamads,2025-01-02 19:43:37
imp169,sess169,u4,t169,2025-01-02 19:59:13,adflow,2025-01-02 19:59:14
imp170,sess170,u5,t170,2025-01-02 20:14:50,sponsorx,2025-01-02 20:14:51
imp171,sess171,u5,t171,2025-01-02 20:30:27,mediagrid,2025-01-02 20:30:28
imp172,sess172,u6,t172,2025-01-02 19:10:44,streamads,2025-01-02 19:10:45
imp173,sess173,u7,t173,2025-01-02 19:29:11,adflow,2025-01-02 19:29:12
imp174,sess174,u8,t174,2025-01-02 20:01:38,sponsorx,2025-01-02 20:01:39
imp175,sess175,u9,t175,2025-01-02 20:03:15,mediagrid,2025-01-02 20:03:16
imp176,sess176,u10,t176,2025-01-02 20:04:52,streamads,2025-01-02 20:04:53
imp177,sess177,u1,t177,2025-01-02 21:05:19,adflow,2025-01-02 21:05:20
imp178,sess178,u2,t178,2025-01-02 21:13:56,sponsorx,2025-01-02 21:13:57
imp179,sess179,u3,t179,2025-01-02 21:22:33,mediagrid,2025-01-02 21:22:34
imp180,sess180,u4,t180,2025-01-02 21:31:10,streamads,2025-01-02 21:31:11
imp181,sess181,u5,t181,2025-01-02 21:39:47,adflow,2025-01-02 21:39:48
imp182,sess182,u5,t182,2025-01-02 21:48:24,sponsorx,2025-01-02 21:48:25
imp183,sess183,u6,t183,2025-01-02 21:57:01,mediagrid,2025-01-02 21:57:02
imp184,sess184,u7,t184,2025-01-02 22:05:38,streamads,2025-01-02 22:05:39
imp185,sess185,u8,t185,2025-01-03 00:09:05,adflow,2025-01-03 00:09:06
imp186,sess186,u9,t186,2025-01-03 00:24:42,sponsorx,2025-01-03 00:24:43
imp187,sess187,u10,t187,2025-01-03 00:40:19,mediagrid,2025-01-03 00:40:20
imp188,sess188,u1,t188,2025-01-03 00:55:56,streamads,2025-01-03 00:55:57
imp189,sess189,u2,t189,2025-01-03 01:11:33,adflow,2025-01-03 01:11:34
imp190,sess190,u3,t190,2025-01-03 01:27:10,sponsorx,2025-01-03 01:27:11
imp191,sess191,u4,t191,2025-01-03 01:42:47,mediagrid,2025-01-03 01:42:48
imp192,sess192,u5,t192,2025-01-03 01:58:24,streamads,2025-01-03 01:58:25
imp193,sess193,u5,t193,2025-01-03 00:29:51,adflow,2025-01-03 00:29:52
imp194,sess194,u6,t194,2025-01-03 00:38:18,sponsorx,2025-01-03 00:38:19
imp195,sess195,u7,t195,2025-01-03 01:00:45,mediagrid,2025-01-03 01:00:46
imp196,sess196,u8,t196,2025-01-03 01:37:12,streamads,2025-01-03 01:37:13
imp197,sess197,u9,t197,2025-01-03 01:38:49,adflow,2025-01-03 01:38:50
imp198,sess198,u10,t198,2025-01-03 01:40:26,sponsorx,2025-01-03 01:40:27
imp199,sess199,u1,t199,2025-01-03 02:44:53,mediagrid,2025-01-03 02:44:54
imp200,sess200,u2,t200,2025-01-03 02:53:30,streamads,2025-01-03 02:53:31
imp201,sess201,u3,t201,2025-01-03 03:02:07,adflow,2025-01-03 03:02:08
imp202,sess202,u4,t202,2025-01-03 03:10:44,sponsorx,2025-01-03 03:10:45
imp203,sess203,u5,t203,2025-01-03 03:19:21,mediagrid,2025-01-03 03:19:22
imp204,sess204,u5,t204,2025-01-03 03:27:58,streamads,2025-01-03 03:27:59
imp205,sess205,u6,t205,2025-01-03 03:36:35,adflow,2025-01-03 03:36:36
imp206,sess206,u7,t206,2025-01-03 03:45:12,sponsorx,2025-01-03 03:45:13
imp207,sess207,u8,t207,2025-01-03 03:53:49,mediagrid,2025-01-03 03:53:50
imp208,sess208,u9,t208,2025-01-03 04:02:26,streamads,2025-01-03 04:02:27
imp209,sess209,u10,t209,2025-01-03 06:23:53,adflow,2025-01-03 06:23:54
imp210,sess210,u1,t210,2025-01-03 06:39:30,sponsorx,2025-01-03 06:39:31
imp211,sess211,u2,t211,2025-01-03 06:55:07,mediagrid,2025-01-03 06:55:08
imp212,sess212,u3,t212,2025-01-03 07:10:44,streamads,2025-01-03 07:10:45
imp213,sess213,u4,t213,2025-01-03 07:26:21,adflow,2025-01-03 07:26:22
imp214,sess214,u5,t214,2025-01-03 07:41:58,sponsorx,2025-01-03 07:41:59
imp215,sess215,u5,t215,2025-01-03 05:53:25,mediagrid,2025-01-03 05:53:26
imp216,sess216,u6,t216,2025-01-03 06:05:52,streamads,2025-01-03 06:05:53
imp217,sess217,u7,t217,2025-01-03 06:32:19,adflow,2025-01-03 06:32:20
imp218,sess218,u8,t218,2025-01-03 07:12:46,sponsorx,2025-01-03 07:12:47
imp219,sess219,u9,t219,2025-01-03 07:14:23,mediagrid,2025-01-03 07:14:24
imp220,sess220,u10,t220,2025-01-03 07:16:00,streamads,2025-01-03 07:16:01
imp221,sess221,u1,t221,2025-01-03 07:17:37,adflow,2025-01-03 07:17:38
imp222,sess222,u2,t222,2025-01-03 08:33:04,sponsorx,2025-01-03 08:33:05
imp223,sess223,u3,t223,2025-01-03 08:41:41,mediagrid,2025-01-03 08:41:42
imp224,sess224,u4,t224,2025-01-03 08:50:18,streamads,2025-01-03 08:50:19
imp225,sess225,u5,t225,2025-01-03 08:58:55,adflow,2025-01-03 08:58:56
imp226,sess226,u5,t226,2025-01-03 09:07:32,sponsorx,2025-01-03 09:07:33
imp227,sess227,u6,t227,2025-01-03 09:16:09,mediagrid,2025-01-03 09:16:10
imp228,sess228,u7,t228,2025-01-03 09:24:46,streamads,2025-01-03 09:24:47
imp229,sess229,u8,t229,2025-01-03 09:33:23,adflow,2025-01-03 09:33:24
imp230,sess230,u9,t230,2025-01-03 09:42:00,sponsorx,2025-01-03 09:42:01
imp231,sess231,u10,t231,2025-01-03 09:50:37,mediagrid,2025-01-03 09:50:38
imp232,sess232,u1,t232,2025-01-03 12:23:04,streamads,2025-01-03 12:23:05
imp233,sess233,u2,t233,2025-01-03 12:38:41,adflow,2025-01-03 12:38:42
imp234,sess234,u3,t234,2025-01-03 12:54:18,sponsorx,2025-01-03 12:54:19
imp235,sess235,u4,t235,2025-01-03 13:09:55,mediagrid,2025-01-03 13:09:56
imp236,sess236,u5,t236,2025-01-03 11:14:32,streamads,2025-01-03 11:14:33
imp237,sess237,u5,t237,2025-01-03 11:16:59,adflow,2025-01-03 11:17:00
imp238,sess238,u6,t238,2025-01-03 11:33:26,sponsorx,2025-01-03 11:33:27
imp239,sess239,u7,t239,2025-01-03 12:03:53,mediagrid,2025-01-03 12:03:54
imp240,sess240,u8,t240,2025-01-03 12:48:20,streamads,2025-01-03 12:48:21
imp241,sess241,u9,t241,2025-01-03 12:49:57,adflow,2025-01-03 12:49:58
imp242,sess242,u10,t242,2025-01-03 12:51:34,sponsorx,2025-01-03 12:51:35
imp243,sess243,u1,t243,2025-01-03 12:53:11,mediagrid,2025-01-03 12:53:12
imp244,sess244,u2,t244,2025-01-03 14:12:38,streamads,2025-01-03 14:12:39
imp245,sess245,u3,t245,2025-01-03 14:21:15,adflow,2025-01-03 14:21:16
imp246,sess246,u4,t246,2025-01-03 14:29:52,sponsorx,2025-01-03 14:29:53
imp247,sess247,u5,t247,2025-01-03 14:38:29,mediagrid,2025-01-03 14:38:30
imp248,sess248,u5,t248,2025-01-03 14:47:06,streamads,2025-01-03 14:47:07
imp249,sess249,u6,t249,2025-01-03 14:55:43,adflow,2025-01-03 14:55:44
imp250,sess250,u7,t250,2025-01-03 15:04:20,sponsorx,2025-01-03 15:04:21
imp251,sess251,u8,t251,2025-01-03 15:12:57,mediagrid,2025-01-03 15:12:58
imp252,sess252,u9,t252,2025-01-03 15:21:34,streamads,2025-01-03 15:21:35
imp253,sess253,u10,t253,2025-01-03 15:30:11,adflow,2025-01-03 15:30:12
imp254,sess254,u1,t254,2025-01-03 15:38:48,sponsorx,2025-01-03 15:38:49
imp255,sess255,u2,t255,2025-01-03 15:47:25,mediagrid,2025-01-03 15:47:26
imp256,sess256,u3,t256,2025-01-03 18:37:52,streamads,2025-01-03 18:37:53
imp257,sess257,u4,t257,2025-01-03 18:53:29,adflow,2025-01-03 18:53:30
imp258,sess258,u5,t258,2025-01-03 16:34:06,sponsorx,2025-01-03 16:34:07
imp259,sess259,u5,t259,2025-01-03 17:13:23,mediagrid,2025-01-03 17:13:24
imp260,sess260,u6,t260,2025-01-03 17:01:00,streamads,2025-01-03 17:01:01
imp261,sess261,u7,t261,2025-01-03 17:35:27,adflow,2025-01-03 17:35:28
imp262,sess262,u8,t262,2025-01-03 17:30:04,sponsorx,2025-01-03 17:30:05
imp263,sess263,u9,t263,2025-01-03 18:25:31,mediagrid,2025-01-03 18:25:32
imp264,sess264,u10,t264,2025-01-03 18:27:08,streamads,2025-01-03 18:27:09
imp265,sess265,u1,t265,2025-01-03 18:28:45,adflow,2025-01-03 18:28:46
imp266,sess266,u2,t266,2025-01-03 18:30:22,sponsorx,2025-01-03 18:30:23
imp267,sess267,u3,t267,2025-01-03 20:00:49,mediagrid,2025-01-03 20:00:50
imp268,sess268,u4,t268,2025-01-03 20:09:26,streamads,2025-01-03 20:09:27
imp269,sess269,u5,t269,2025-01-03 20:18:03,adflow,2025-01-03 20:18:04
imp270,sess270,u5,t270,2025-01-03 20:26:40,sponsorx,2025-01-03 20:26:41
imp271,sess271,u6,t271,2025-01-03 20:35:17,mediagrid,2025-01-03 20:35:18
imp272,sess272,u7,t272,2025-01-03 20:43:54,streamads,2025-01-03 20:43:55
imp273,sess273,u8,t273,2025-01-03 20:52:31,adflow,2025-01-03 20:52:32
imp274,sess274,u9,t274,2025-01-03 21:01:08,sponsorx,2025-01-03 21:01:09
imp275,sess275,u10,t275,2025-01-03 21:09:45,mediagrid,2025-01-03 21:09:46
imp276,sess276,u1,t276,2025-01-03 21:18:22,streamads,2025-01-03 21:18:23
imp277,sess277,u2,t277,2025-01-03 21:26:59,adflow,2025-01-03 21:27:00
imp278,sess278,u3,t278,2025-01-03 21:35:36,sponsorx,2025-01-03 21:35:37
imp279,sess279,u4,t279,2025-01-03 21:57:13,mediagrid,2025-01-03 21:57:14
imp280,sess280,u5,t280,2025-01-03 22:23:30,streamads,2025-01-03 22:23:31
imp281,sess281,u5,t281,2025-01-03 22:40:57,adflow,2025-01-03 22:40:58
imp282,sess282,u6,t282,2025-01-03 23:12:24,sponsorx,2025-01-03 23:12:25
imp283,sess283,u7,t283,2025-01-03 23:07:01,mediagrid,2025-01-03 23:07:02
imp284,sess284,u8,t284,2025-01-03 23:01:38,streamads,2025-01-03 23:01:39
imp285,sess285,u9,t285,2025-01-04 00:01:05,adflow,2025-01-04 00:01:06
imp286,sess286,u10,t286,2025-01-04 00:02:42,sponsorx,2025-01-04 00:02:43
imp287,sess287,u1,t287,2025-01-04 00:04:19,mediagrid,2025-01-04 00:04:20
imp288,sess288,u2,t288,2025-01-04 00:05:56,streamads,2025-01-04 00:05:57
imp289,sess289,u3,t289,2025-01-04 01:40:23,adflow,2025-01-04 01:40:24
imp290,sess290,u4,t290,2025-01-04 01:49:00,sponsorx,2025-01-04 01:49:01
imp291,sess291,u5,t291,2025-01-04 01:57:37,mediagrid,2025-01-04 01:57:38
imp292,sess292,u5,t292,2025-01-04 02:06:14,streamads,2025-01-04 02:06:15
imp293,sess293,u6,t293,2025-01-04 02:14:51,adflow,2025-01-04 02:14:52
imp294,sess294,u7,t294,2025-01-04 02:23:28,sponsorx,2025-01-04 02:23:29
imp295,sess295,u8,t295,2025-01-04 02:32:05,mediagrid,2025-01-04 02:32:06
imp296,sess296,u9,t296,2025-01-04 02:40:42,streamads,2025-01-04 02:40:43
imp297,sess297,u10,t297,2025-01-04 02:49:19,adflow,2025-01-04 02:49:20
imp298,sess298,u1,t298,2025-01-04 02:57:56,sponsorx,2025-01-04 02:57:57
imp299,sess299,u2,t299,2025-01-04 03:06:33,mediagrid,2025-01-04 03:06:34
imp300,sess300,u3,t300,2025-01-04 03:06:30,streamads,2025-01-04 03:06:31
imp301,sess301,u4,t301,2025-01-04 03:39:37,adflow,2025-01-04 03:39:38
imp302,sess302,u5,t302,2025-01-04 03:47:04,sponsorx,2025-01-04 03:47:05
imp303,sess303,u5,t303,2025-01-04 04:08:31,mediagrid,2025-01-04 04:08:32
imp304,sess304,u6,t304,2025-01-04 04:43:58,streamads,2025-01-04 04:43:59
imp305,sess305,u7,t305,2025-01-04 04:38:35,adflow,2025-01-04 04:38:36
imp306,sess306,u8,t306,2025-01-04 04:33:12,sponsorx,2025-01-04 04:33:13
imp307,sess307,u9,t307,2025-01-04 05:36:39,mediagrid,2025-01-04 05:36:40
imp308,sess308,u10,t308,2025-01-04 05:38:16,streamads,2025-01-04 05:38:17
imp309,sess309,u1,t309,2025-01-04 05:39:53,adflow,2025-01-04 05:39:54
