payment_id,subscription_id,payment_ts,amount_usd,currency,payment_status,updated_at
pay112,s10,2024-02-26 00:05:00,11.99,USD,succeeded,2024-02-26 00:05:03
pay113,s11,2024-02-26 12:05:00,-9.99,USD,refund,2024-02-26 12:05:03
pay114,s2,2024-02-27 00:05:00,15.99,USD,succeeded,2024-02-27 00:05:03
pay115,s3,2024-02-27 12:05:00,7.99,USD,succeeded,2024-02-27 12:05:03
pay116,s4,2024-02-28 00:05:00,9.99,USD,succeeded,2024-02-28 00:05:03
pay117,s5,2024-02-28 12:05:00,11.99,USD,succeeded,2024-02-28 12:05:03
pay118,s6,2024-02-29 00:05:00,-11.99,USD,refund,2024-02-29 00:05:03
pay119,s7,2024-02-29 12:05:00,15.99,USD,succeeded,2024-02-29 12:05:03
pay120,s8,2024-03-01 00:05:00,0.00,USD,failed,2024-03-01 00:05:03
pay121,s9,2024-03-01 12:05:00,9.99,USD,succeeded,2024-03-01 12:05:03
pay122,s1,2024-03-02 00:05:00,11.99,USD,succeeded,2024-03-02 00:05:03
pay123,s10,2024-03-02 12:05:00,13.99,USD,succeeded,2024-03-02 12:05:03
pay124,s11,2024-03-03 00:05:00,15.99,USD,succeeded,2024-03-03 00:05:03
pay125,s2,2024-03-03 12:05:00,-9.99,USD,refund,2024-03-03 12:05:03
pay126,s3,2024-03-04 00:05:00,9.99,USD,succeeded,2024-03-04 00:05:03
pay127,s4,2024-03-04 12:05:00,11.99,USD,succeeded,2024-03-04 12:05:03
pay128,s5,2024-03-05 00:05:00,13.99,USD,succeeded,2024-03-05 00:05:03
pay129,s6,2024-03-05 12:05:00,15.99,USD,succeeded,2024-03-05 12:05:03
pay130,s7,2024-03-06 00:05:00,-11.99,USD,refund,2024-03-06 00:05:03
pay131,s8,2024-03-06 12:05:00,9.99,USD,succeeded,2024-03-06 12:05:03
pay132,s9,2024-03-07 00:05:00,0.00,USD,failed,2024-03-07 00:05:03
pay133,s1,2024-03-07 12:05:00,13.99,USD,succeeded,2024-03-07 12:05:03
pay134,s10,2024-03-08 00:05:00,15.99,USD,succeeded,2024-03-08 00:05:03
pay135,s11,2024-03-08 12:05:00,7.99,USD,succeeded,2024-03-08 12:05:03
pay136,s2,2024-03-09 00:05:00,9.99,USD,succeeded,2024-03-09 00:05:03
pay137,s3,2024-03-09 12:05:00,-9.99,USD,refund,2024-03-09 12:05:03
pay138,s4,2024-03-10 00:05:00,13.99,USD,succeeded,2024-03-10 00:05:03
pay139,s5,2024-03-10 12:05:00,15.99,USD,succeeded,2024-03-10 12:05:03
pay140,s6,2024-03-11 00:05:00,7.99,USD,succeeded,2024-03-11 00:05:03
pay141,s7,2024-03-11 12:05:00,9.99,USD,succeeded,2024-03-11 12:05:03
pay142,s8,2024-03-12 00:05:00,-11.99,USD,refund,2024-03-12 00:05:03
pay143,s9,2024-03-12 12:05:00,13.99,USD,succeeded,2024-03-12 12:05:03
pay144,s1,2024-03-13 00:05:00,0.00,USD,failed,2024-03-13 00:05:03
pay145,s10,2024-03-13 12:05:00,7.99,USD,succeeded,2024-03-13 12:05:03
pay146,s11,2024-03-14 00:05:00,9.99,USD,succeeded,2024-03-14 00:05:03
pay147,s2,2024-03-14 12:05:00,11.99,USD,succeeded,2024-03-14 12:05:03
pay148,s3,2024-03-15 00:05:00,13.99,USD,succeeded,2024-03-15 00:05:03
pay149,s4,2024-03-15 12:05:00,-9.99,USD,refund,2024-03-15 12:05:03
pay150,s5,2024-03-16 00:05:00,7.99,USD,succeeded,2024-03-16 00:05:03
pay151,s6,2024-03-16 12:05:00,9.99,USD,succeeded,2024-03-16 12:05:03
pay152,s7,2024-03-17 00:05:00,11.99,USD,succeeded,2024-03-17 00:05:03
pay153,s8,2024-03-17 12:05:00,13.99,USD,succeeded,2024-03-17 12:05:03
pay154,s9,2024-03-18 00:05:00,-11.99,USD,refund,2024-03-18 00:05:03
pay155,s1,2024-03-18 12:05:00,7.99,USD,succeeded,2024-03-18 12:05:03
pay156,s10,2024-03-19 00:05:00,0.00,USD,failed,2024-03-19 00:05:03
pay157,s11,2024-03-19 12:05:00,11.99,USD,succeeded,2024-03-19 12:05:03
pay158,s2,2024-03-20 00:05:00,13.99,USD,succeeded,2024-03-20 00:05:03
pay159,s3,2024-03-20 12:05:00,15.99,USD,succeeded,2024-03-20 12:05:03
pay160,s4,2024-03-21 00:05:00,7.99,USD,succeeded,2024-03-21 00:05:03
pay161,s5,2024-03-21 12:05:00,-9.99,USD,refund,2024-03-21 12:05:03
pay162,s6,2024-03-22 00:05:00,11.99,USD,succeeded,2024-03-22 00:05:03
pay163,s7,2024-03-22 12:05:00,13.99,USD,succeeded,2024-03-22 12:05:03
pay164,s8,2024-03-23 00:05:00,15.99,USD,succeeded,2024-03-23 00:05:03
pay165,s9,2024-03-23 12:05:00,7.99,USD,succeeded,2024-03-23 12:05:03
pay166,s1,2024-03-24 00:05:00,-11.99,USD,refund,2024-03-24 00:05:03
pay167,s10,2024-03-24 12:05:00,11.99,USD,succeeded,2024-03-24 12:05:03
pay168,s11,2024-03-25 00:05:00,0.00,USD,failed,2024-03-25 00:05:03
pay169,s2,2024-03-25 12:05:00,15.99,USD,succeeded,2024-03-25 12:05:03
pay170,s3,2024-03-26 00:05:00,7.99,USD,succeeded,2024-03-26 00:05:03
pay171,s4,2024-03-26 12:05:00,9.99,USD,succeeded,2024-03-26 12:05:03
pay172,s5,2024-03-27 00:05:00,11.99,USD,succeeded,2024-03-27 00:05:03
pay173,s6,2024-03-27 12:05:00,-9.99,USD,refund,2024-03-27 12:05:03
pay174,s7,2024-03-28 00:05:00,15.99,USD,succeeded,2024-03-28 00:05:03
pay175,s8,2024-03-28 12:05:00,7.99,USD,succeeded,2024-03-28 12:05:03
pay176,s9,2024-03-29 00:05:00,9.99,USD,succeeded,2024-03-29 00:05:03
pay177,s1,2024-03-29 12:05:00,11.99,USD,succeeded,2024-03-29 12:05:03
pay178,s10,2024-03-30 00:05:00,-11.99,USD,refund,2024-03-30 00:05:03
pay179,s11,2024-03-30 12:05:00,15.99,USD,succeeded,2024-03-30 12:05:03
pay180,s2,2024-03-31 00:05:00,0.00,USD,failed,2024-03-31 00:05:03
pay181,s3,2024-03-31 12:05:00,9.99,USD,succeeded,2024-03-31 12:05:03
pay182,s4,2024-04-01 00:05:00,11.99,USD,succeeded,2024-04-01 00:05:03
pay183,s5,2024-04-01 12:05:00,13.99,USD,succeeded,2024-04-01 12:05:03
pay184,s6,2024-04-02 00:05:00,15.99,USD,succeeded,2024-04-02 00:05:03
pay185,s7,2024-04-02 12:05:00,-9.99,USD,refund,2024-04-02 12:05:03
pay186,s8,2024-04-03 00:05:00,9.99,USD,succeeded,2024-04-03 00:05:03
pay187,s9,2024-04-03 12:05:00,11.99,USD,succeeded,2024-04-03 12:05:03
pay188,s1,2024-04-04 00:05:00,13.99,USD,succeeded,2024-04-04 00:05:03
pay189,s10,2024-04-04 12:05:00,15.99,USD,succeeded,2024-04-04 12:05:03
pay190,s11,2024-04-05 00:05:00,-11.99,USD,refund,2024-04-05 00:05:03
pay191,s2,2024-04-05 12:05:00,9.99,USD,succeeded,2024-04-05 12:05:03
pay192,s3,2024-04-06 00:05:00,0.00,USD,failed,2024-04-06 00:05:03
pay193,s4,2024-04-06 12:05:00,13.99,USD,succeeded,2024-04-06 12:05:03
pay194,s5,2024-04-07 00:05:00,15.99,USD,succeeded,2024-04-07 00:05:03
pay195,s6,2024-04-07 12:05:00,7.99,USD,succeeded,2024-04-07 12:05:03
pay196,s7,2024-04-08 00:05:00,9.99,USD,succeeded,2024-04-08 00:05:03
pay197,s8,2024-04-08 12:05:00,-9.99,USD,refund,2024-04-08 12:05:03
pay198,s9,2024-04-09 00:05:00,13.99,USD,succeeded,2024-04-09 00:05:03
pay199,s1,2024-04-09 12:05:00,15.99,USD,succeeded,2024-04-09 12:05:03
pay200,s10,2024-04-10 00:05:00,7.99,USD,succeeded,2024-04-10 00:05:03
pay201,s11,2024-04-10 12:05:00,9.99,USD,succeeded,2024-04-10 12:05:03
pay202,s2,2024-04-11 00:05:00,-11.99,USD,refund,2024-04-11 00:05:03
pay203,s3,2024-04-11 12:05:00,13.99,USD,succeeded,2024-04-11 12:05:03
pay204,s4,2024-04-12 00:05:00,0.00,USD,failed,2024-04-12 00:05:03
pay205,s5,2024-04-12 12:05:00,7.99,USD,succeeded,2024-04-12 12:05:03
pay206,s6,2024-04-13 00:05:00,9.99,USD,succeeded,2024-04-13 00:05:03
pay207,s7,2024-04-13 12:05:00,11.99,USD,succeeded,2024-04-13 12:05:03
pay208,s8,2024-04-14 00:05:00,13.99,USD,succeeded,2024-04-14 00:05:03
pay209,s9,2024-04-14 12:05:00,-9.99,USD,refund,2024-04-14 12:05:03
pay210,s1,2024-04-15 00:05:00,7.99,USD,succeeded,2024-04-15 00:05:03
pay211,s10,2024-04-15 12:05:00,9.99,USD,succeeded,2024-04-15 12:05:03
pay212,s11,2024-04-16 00:05:00,11.99,USD,succeeded,2024-04-16 00:05:03
pay213,s2,2024-04-16 12:05:00,13.99,USD,succeeded,2024-04-16 12:05:03
pay214,s3,2024-04-17 00:05:00,-11.99,USD,refund,2024-04-17 00:05:03
pay215,s4,2024-04-17 12:05:00,7.99,USD,succeeded,2024-04-17 12:05:03
pay216,s5,2024-04-18 00:05:00,0.00,USD,failed,2024-04-18 00:05:03
pay217,s6,2024-04-18 12:05:00,11.99,USD,succeeded,2024-04-18 12:05:03
pay218,s7,2024-04-19 00:05:00,13.99,USD,succeeded,2024-04-19 00:05:03
pay219,s8,2024-04-19 12:05:00,15.99,USD,succeeded,2024-04-19 12:05:03
pay220,s9,2024-04-20 00:05:00,7.99,USD,succeeded,2024-04-20 00:05:03
pay221,s1,2024-04-20 12:05:00,-9.99,USD,refund,2024-04-20 12:05:03
pay222,s10,2024-04-21 00:05:00,11.99,USD,succeeded,2024-04-21 00:05:03
pay223,s11,2024-04-21 12:05:00,13.99,USD,succeeded,2024-04-21 12:05:03
pay224,s2,2024-04-22 00:05:00,15.99,USD,succeeded,2024-04-22 00:05:03
pay225,s3,2024-04-22 12:05:00,7.99,USD,succeeded,2024-04-22 12:05:03
pay226,s4,2024-04-23 00:05:00,-11.99,USD,refund,2024-04-23 00:05:03
pay227,s5,2024-04-23 12:05:00,11.99,USD,succeeded,2024-04-23 12:05:03
pay228,s6,2024-04-24 00:05:00,0.00,USD,failed,2024-04-24 00:05:03
pay229,s7,2024-04-24 12:05:00,15.99,USD,succeeded,2024-04-24 12:05:03
pay230,s8,2024-04-25 00:05:00,7.99,USD,succeeded,2024-04-25 00:05:03
pay231,s9,2024-04-25 12:05:00,9.99,USD,succeeded,2024-04-25 12:05:03
pay232,s1,2024-04-26 00:05:00,11.99,USD,succeeded,2024-04-26 00:05:03
pay233,s10,2024-04-26 12:05:00,-9.99,USD,refund,2024-04-26 12:05:03
pay234,s11,2024-04-27 00:05:00,15.99,USD,succeeded,2024-04-27 00:05:03
pay235,s2,2024-04-27 12:05:00,7.99,USD,succeeded,2024-04-27 12:05:03
pay236,s3,2024-04-28 00:05:00,9.99,USD,succeeded,2024-04-28 00:05:03
pay237,s4,2024-04-28 12:05:00,11.99,USD,succeeded,2024-04-28 12:05:03
pay238,s5,2024-04-29 00:05:00,-11.99,USD,refund,2024-04-29 00:05:03
pay239,s6,2024-04-29 12:05:00,15.99,USD,succeeded,2024-04-29 12:05:03
pay240,s7,2024-04-30 00:05:00,0.00,USD,failed,2024-04-30 00:05:03
pay241,s8,2024-04-30 12:05:00,9.99,USD,succeeded,2024-04-30 12:05:03
pay242,s9,2024-05-01 00:05:00,11.99,USD,succeeded,2024-05-01 00:05:03
pay243,s1,2024-05-01 12:05:00,13.99,USD,succeeded,2024-05-01 12:05:03
pay244,s10,2024-05-02 00:05:00,15.99,USD,succeeded,2024-05-02 00:05:03
pay245,s11,2024-05-02 12:05:00,-9.99,USD,refund,2024-05-02 12:05:03
pay246,s2,2024-05-03 00:05:00,9.99,USD,succeeded,2024-05-03 00:05:03
pay247,s3,2024-05-03 12:05:00,11.99,USD,succeeded,2024-05-03 12:05:03
pay248,s4,2024-05-04 00:05:00,13.99,USD,succeeded,2024-05-04 00:05:03
pay249,s5,2024-05-04 12:05:00,15.99,USD,succeeded,2024-05-04 12:05:03
pay250,s6,2024-05-05 00:05:00,-11.99,USD,refund,2024-05-05 00:05:03
pay251,s7,2024-05-05 12:05:00,9.99,USD,succeeded,2024-05-05 12:05:03
pay252,s8,2024-05-06 00:05:00,0.00,USD,failed,2024-05-06 00:05:03
pay253,s9,2024-05-06 12:05:00,13.99,USD,succeeded,2024-05-06 12:05:03
pay254,s1,2024-05-07 00:05:00,15.99,USD,succeeded,2024-05-07 00:05:03
pay255,s10,2024-05-07 12:05:00,7.99,USD,succeeded,2024-05-07 12:05:03
pay256,s11,2024-05-08 00:05:00,9.99,USD,succeeded,2024-05-08 00:05:03
pay257,s2,2024-05-08 12:05:00,-9.99,USD,refund,2024-05-08 12:05:03
pay258,s3,2024-05-09 00:05:00,13.99,USD,succeeded,2024-05-09 00:05:03
pay259,s4,2024-05-09 12:05:00,15.99,USD,succeeded,2024-05-09 12:05:03
pay260,s5,2024-05-10 00:05:00,7.99,USD,succeeded,2024-05-10 00:05:03
pay261,s6,2024-05-10 12:05:00,9.99,USD,succeeded,2024-05-10 12:05:03
pay262,s7,2024-05-11 00:05:00,-11.99,USD,refund,2024-05-11 00:05:03
pay263,s8,2024-05-11 12:05:00,13.99,USD,succeeded,2024-05-11 12:05:03
pay264,s9,2024-05-12 00:05:00,0.00,USD,failed,2024-05-12 00:05:03
pay265,s1,2024-05-12 12:05:00,7.99,USD,succeeded,2024-05-12 12:05:03
pay266,s10,2024-05-13 00:05:00,9.99,USD,succeeded,2024-05-13 00:05:03
pay267,s11,2024-05-13 12:05:00,11.99,USD,succeeded,2024-05-13 12:05:03
pay268,s2,2024-05-14 00:05:00,13.99,USD,succeeded,2024-05-14 00:05:03
pay269,s3,2024-05-14 12:05:00,-9.99,USD,refund,2024-05-14 12:05:03
pay270,s4,2024-05-15 00:05:00,7.99,USD,succeeded,2024-05-15 00:05:03
pay271,s5,2024-05-15 12:05:00,9.99,USD,succeeded,2024-05-15 12:05:03
pay272,s6,2024-05-16 00:05:00,11.99,USD,succeeded,2024-05-16 00:05:03
pay273,s7,2024-05-16 12:05:00,13.99,USD,succeeded,2024-05-16 12:05:03
pay274,s8,2024-05-17 00:05:00,-11.99,USD,refund,2024-05-17 00:05:03
pay275,s9,2024-05-17 12:05:00,7.99,USD,succeeded,2024-05-17 12:05:03
pay276,s1,2024-05-18 00:05:00,0.00,USD,failed,2024-05-18 00:05:03
pay277,s10,2024-05-18 12:05:00,11.99,USD,succeeded,2024-05-18 12:05:03
pay278,s11,2024-05-19 00:05:00,13.99,USD,succeeded,2024-05-19 00:05:03
pay279,s2,2024-05-19 12:05:00,15.99,USD,succeeded,2024-05-19 12:05:03
pay280,s3,2024-05-20 00:05:00,7.99,USD,succeeded,2024-05-20 00:05:03
pay281,s4,2024-05-20 12:05:00,-9.99,USD,refund,2024-05-20 12:05:03
pay282,s5,2024-05-21 00:05:00,11.99,USD,succeeded,2024-05-21 00:05:03
pay283,s6,2024-05-21 12:05:00,13.99,USD,succeeded,2024-05-21 12:05:03
pay284,s7,2024-05-22 00:05:00,15.99,USD,succeeded,2024-05-22 00:05:03
pay285,s8,2024-05-22 12:05:00,7.99,USD,succeeded,2024-05-22 12:05:03
pay286,s9,2024-05-23 00:05:00,-11.99,USD,refund,2024-05-23 00:05:03
pay287,s1,2024-05-23 12:05:00,11.99,USD,succeeded,2024-05-23 12:05:03
pay288,s10,2024-05-24 00:05:00,0.00,USD,failed,2024-05-24 00:05:03
pay289,s11,2024-05-24 12:05:00,15.99,USD,succeeded,2024-05-24 12:05:03
pay290,s2,2024-05-25 00:05:00,7.99,USD,succeeded,2024-05-25 00:05:03
pay291,s3,2024-05-25 12:05:00,9.99,USD,succeeded,2024-05-25 12:05:03
pay292,s4,2024-05-26 00:05:00,11.99,USD,succeeded,2024-05-26 00:05:03
pay293,s5,2024-05-26 12:05:00,-9.99,USD,refund,2024-05-26 12:05:03
pay294,s6,2024-05-27 00:05:00,15.99,USD,succeeded,2024-05-27 00:05:03
pay295,s7,2024-05-27 12:05:00,7.99,USD,succeeded,2024-05-27 12:05:03
pay296,s8,2024-05-28 00:05:00,9.99,USD,succeeded,2024-05-28 00:05:03
pay297,s9,2024-05-28 12:05:00,11.99,USD,succeeded,2024-05-28 12:05:03
pay298,s1,2024-05-29 00:05:00,-11.99,USD,refund,2024-05-29 00:05:03
pay299,s10,2024-05-29 12:05:00,15.99,USD,succeeded,2024-05-29 12:05:03
pay300,s11,2024-05-30 00:05:00,0.00,USD,failed,2024-05-30 00:05:03
pay301,s2,2024-05-30 12:05:00,9.99,USD,succeeded,2024-05-30 12:05:03
pay302,s3,2024-05-31 00:05:00,11.99,USD,succeeded,2024-05-31 00:05:03
pay303,s4,2024-05-31 12:05:00,13.99,USD,succeeded,2024-05-31 12:05:03
pay304,s5,2024-06-01 00:05:00,15.99,USD,succeeded,2024-06-01 00:05:03
pay305,s6,2024-06-01 12:05:00,-9.99,USD,refund,2024-06-01 12:05:03
pay306,s7,2024-06-02 00:05:00,9.99,USD,succeeded,2024-06-02 00:05:03
pay307,s8,2024-06-02 12:05:00,11.99,USD,succeeded,2024-06-02 12:05:03
pay308,s9,2024-06-03 00:05:00,13.99,USD,succeeded,2024-06-03 00:05:03
pay309,s1,2024-06-03 12:05:00,15.99,USD,succeeded,2024-06-03 12:05:03
pay310,s10,2024-06-04 00:05:00,-11.99,USD,refund,2024-06-04 00:05:03
pay311,s11,2024-06-04 12:05:00,9.99,USD,succeeded,2024-06-04 12:05:03
